"Freq [GHz]","re(Z(1,1)) [] - Wcuartos='0.6mm' Wpar='7mm'","im(Z(1,1)) [] - Wcuartos='0.6mm' Wpar='7mm'"
10.64,8.99773185968803,15.9920970063055
10.65,9.30371890136588,16.2326382207035
10.66,9.62630693406885,16.4778379766724
10.67,9.96659211926767,16.7274857204822
10.68,10.3257482579753,16.9813106345827
10.69,10.7050313983305,17.2389716123797
10.7,11.1057843527192,17.500045719276
10.71,11.5294409923623,17.7640149298809
10.72,11.9775301456453,18.0302509087234
10.73,12.4516788744198,18.297997579522
10.74,12.9536148378915,18.5663512074661
10.75,13.4851673740248,18.8342377020879
10.76,14.0482668308326,19.1003868380468
10.77,14.6449415614877,19.3633030916077
10.78,15.2773118547865,19.6212328073245
10.79,15.9475799032635,19.872127449989
10.8,16.6580147129389,20.1136027712182
10.81,17.4109306304182,20.3428938410846
10.82,18.2086579063085,20.5568060794003
10.83,19.0535034340191,20.7516626891445
10.84,19.947699511234,20.9232492707267
10.85,20.8933381876604,21.0667569089373
10.86,21.8922885193274,21.1767257059173
10.87,22.9460938956165,21.2469916147877
10.88,24.0558466107907,21.2706405365558
10.89,25.2220371137975,21.2399749917193
10.9,26.4443760153064,21.1465002569593
10.91,27.7215881161054,20.9809386136752
10.92,29.051179626829,20.73328217129
10.93,30.4291825624682,20.3928963948312
10.94,31.8498841756134,19.9486876543118
10.95,33.3055543153886,19.3893483536452
10.96,34.7861896747891,18.7036918790541
10.97,36.279300658897,17.8810860184707
10.98,37.769773331331,16.9119869292832
10.99,39.2398443718878,15.7885656368602
11,40.6692295281478,14.5054053445242
11.01,42.0354436619123,13.0602312173475
11.02,43.3143411986996,11.4546165392525
11.03,44.4808882259855,9.6945932318124
11.04,45.5101516714508,7.7910846893591
11.05,46.3784590382178,5.76007910140247
11.06,47.0646486324606,3.62247544095358
11.07,47.5513017040002,1.4035633529764
11.08,47.8258318059734,-0.867859981313425
11.09,47.8813090351139,-3.16068447641793
11.1,47.7169201892486,-5.44289584645562
11.11,47.3380078278293,-7.68306754102457
11.12,46.7556843549642,-9.85179191554421
11.13,45.98607102617,-11.9229168765117
11.14,45.0492555120967,-13.874485333694
11.15,43.9680875160671,-15.6893193812731
11.16,42.766936937167,-17.3552394364646
11.17,41.4705252329005,-18.8649512798283
