"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
10.22,8.11896617963493,2.30733199273474
10.23,8.21380406337652,2.76974725123035
10.24,8.31287976788857,3.23333572389181
10.25,8.41638794524069,3.69822284773341
10.26,8.52453622181045,4.16453461863324
10.27,8.63754615918806,4.63239739482801
10.28,8.75565429436254,5.10193764630486
10.29,8.87911326521198,5.57328164052671
10.3,9.00819302748853,6.04655505329406
10.31,9.14318216954535,6.52188249163776
10.32,9.28438933095184,6.99938691342945
10.33,9.4321447308209,7.4791889258349
10.34,9.58680181104691,7.96140594179267
10.35,9.74873899861804,8.44615117031965
10.36,9.91836158958523,8.93353241260909
10.37,10.0961037549708,9.4236506315561
10.38,10.2824306656565,9.91659825752555
10.39,10.4778407288383,10.4124571879035
10.4,10.6828679226213,10.9112964323166
10.41,10.8980842073527,11.4131693495538
10.42,11.1241019818505,11.9181104164456
10.43,11.3615765392194,12.4261314637337
10.44,11.6112084598106,12.9372173099823
10.45,11.8737458574226,13.4513207228998
10.46,12.1499863684181,13.9683566395308
10.47,12.4407787416059,14.4881955847276
10.48,12.747023849393,15.0106562439207
10.49,13.0696748984834,15.5354971751574
10.5,13.4097365730644,16.062407691339
10.51,13.7682627986687,16.5909980121219
10.52,14.1463527772526,17.1207888823374
10.53,14.5451449240254,17.6512009861577
10.54,14.9658083501664,18.1815446582297
10.55,15.4095316053571,18.7110106050824
10.56,15.8775085499445,19.2386625946426
10.57,16.3709215047581,19.7634333270063
10.58,16.890922265588,20.2841249227421
10.59,17.4386122006398,20.7994155836777
10.6,18.0150234810461,21.3078738881704
10.61,18.6211044867266,21.8079817378179
10.62,19.2577134630666,22.2981660182375
10.63,19.9256253492478,22.7768374392075
10.64,20.6255570065041,23.2424327380544
10.65,21.3582154035098,23.6934536089453
10.66,22.1243712350231,24.1284927786523
10.67,22.9249567140588,24.5462353141307
10.68,23.7611810524058,24.9454224665379
10.69,24.6346511807171,25.3247670398223
10.7,25.547479889594,25.6828138939542
10.71,26.5023604100444,26.017746399821
10.72,27.5025868142794,26.3271481188589
10.73,28.5520038897533,26.6077366457345
10.74,29.6548774058586,26.8550913898107
10.75,30.8156839315127,27.0633979008363
10.76,32.0388261849263,27.2252284086252
10.77,33.3282835078728,27.3313731644688
10.78,34.6872069537839,27.3707322992358
10.79,36.1174655931417,27.3302754466409
10.8,37.6191469374381,27.1950776347667
10.81,39.1900122209467,26.9484450505102
10.82,40.8249088328915,26.5721522443679
10.83,42.5151491170149,26.0468213150311
10.84,44.2478780302269,25.3524810754314
10.85,46.0054719238383,24.4693470383752
10.86,47.7650359572212,23.3788575952697
10.87,49.4980955923707,22.0649839986133
10.88,51.170602985011,20.5157981192712
10.89,52.7433936627517,18.7252307586971
10.9,54.1732218959502,16.6948870076375
